index,s_meters,lateral_m,delta_lateral_m,label,segmentIndex,world_x,world_y,world_z
0,0.000,-0.139,0.000,Easy,0,-0.139,0.000,-92.020
1,2.000,-0.665,0.526,Medium,0,-0.665,0.000,-89.827
2,4.000,0.120,0.785,Hard,0,0.120,0.000,-87.885
3,6.000,-0.025,0.145,Easy,0,-0.025,0.000,-85.856
4,8.000,0.550,0.575,Medium,0,0.550,0.000,-83.795
5,10.000,0.337,0.213,Easy,0,0.337,0.000,-81.787
6,12.000,0.769,0.432,Medium,0,0.769,0.000,-79.869
7,14.000,-0.301,1.070,Hard,0,-0.301,0.000,-77.962
8,16.000,-0.458,0.157,Easy,0,-0.458,0.000,-75.778
9,18.000,-0.109,0.350,Medium,0,-0.109,0.000,-74.006
10,20.000,0.079,0.187,Easy,0,0.079,0.000,-71.794
11,22.000,0.550,0.471,Medium,0,0.550,0.000,-69.892
12,24.000,-0.718,1.268,Hard,0,-0.718,0.000,-68.014
13,26.000,-0.656,0.063,Easy,1,-0.656,0.000,-66.042
14,28.000,-0.260,0.396,Medium,1,-0.260,0.000,-63.960
15,30.000,-0.272,0.012,Easy,1,-0.272,0.000,-61.909
16,32.000,0.019,0.291,Medium,1,0.019,0.000,-59.763
17,34.000,-0.617,0.637,Hard,1,-0.617,0.000,-58.018
18,36.000,-0.560,0.057,Easy,1,-0.560,0.000,-55.902
19,38.000,-0.291,0.269,Medium,1,-0.291,0.000,-53.964
20,40.000,-0.060,0.231,Easy,1,-0.060,0.000,-51.788
21,42.000,0.288,0.348,Medium,1,0.288,0.000,-49.927
22,44.000,-0.336,0.624,Hard,1,-0.334,0.000,-47.759
23,46.000,-0.389,0.052,Easy,2,-0.359,0.000,-45.778
24,48.000,0.131,0.520,Medium,2,0.200,0.000,-43.899
25,50.000,0.043,0.088,Easy,2,0.154,0.000,-41.839
26,52.000,-0.373,0.416,Medium,2,-0.223,0.000,-39.944
27,54.000,0.770,1.143,Hard,2,0.963,0.000,-37.885
28,56.000,0.620,0.150,Easy,2,0.857,0.000,-35.769
29,58.000,0.351,0.269,Medium,2,0.625,0.000,-33.974
30,60.000,0.368,0.017,Easy,2,0.688,0.000,-31.754
31,62.000,0.037,0.330,Medium,2,0.398,0.000,-29.805
32,64.000,-0.742,0.780,Hard,2,-0.345,0.000,-28.026
33,66.000,-0.635,0.107,Easy,2,-0.190,0.000,-25.762
34,68.000,-0.155,0.479,Medium,2,0.325,0.000,-24.011
35,70.000,0.066,0.221,Easy,2,0.590,0.000,-21.885
36,72.000,0.513,0.448,Medium,2,1.082,0.000,-19.770
37,74.000,-0.705,1.218,Hard,2,-0.096,0.000,-17.826
38,76.000,-0.650,0.055,Easy,2,-0.001,0.000,-15.902
39,78.000,-0.301,0.349,Medium,2,0.391,0.000,-13.803
40,80.000,-0.209,0.092,Easy,2,0.520,0.000,-12.032
41,82.000,0.191,0.400,Medium,2,0.932,0.000,-9.842
42,83.539,-0.543,0.734,Hard,3,-0.453,0.000,-8.515
43,85.539,-0.528,0.015,Easy,3,-2.489,0.000,-8.268
44,87.539,-0.055,0.473,Medium,3,-3.790,0.000,-8.055
45,89.539,-0.092,0.037,Easy,3,-5.871,0.000,-7.809
46,91.539,-0.610,0.518,Medium,3,-8.420,0.000,-7.565
47,93.539,0.420,1.030,Hard,3,-9.360,0.000,-7.328
48,95.539,0.193,0.227,Easy,3,-11.503,0.000,-7.097
49,97.539,-0.085,0.278,Medium,3,-13.817,0.000,-6.850
50,99.536,-0.018,0.067,Easy,4,-15.930,0.000,-6.700
51,101.536,-0.440,0.422,Medium,4,-18.324,0.000,-6.700
52,103.536,0.706,1.146,Hard,4,-18.935,0.000,-6.700
53,105.536,0.733,0.026,Easy,4,-21.083,0.000,-6.700
54,107.536,0.348,0.385,Medium,4,-23.306,0.000,-6.700
55,109.536,0.199,0.149,Easy,4,-25.666,0.000,-6.700
56,111.536,-0.228,0.427,Medium,4,-28.117,0.000,-6.700
57,113.536,0.405,0.633,Hard,4,-29.468,0.000,-6.704
58,115.533,0.338,0.067,Easy,5,-31.443,0.000,-6.782
59,117.533,0.732,0.395,Medium,5,-33.179,0.000,-7.005
60,119.533,0.501,0.231,Easy,5,-35.139,0.000,-7.187
61,121.533,-0.080,0.581,Medium,5,-37.763,0.000,-7.401
62,123.533,0.606,0.686,Hard,5,-38.979,0.000,-7.601
63,125.533,0.695,0.089,Easy,5,-41.046,0.000,-7.827
64,127.533,0.178,0.517,Medium,5,-43.470,0.000,-8.027
65,129.533,0.128,0.050,Easy,5,-45.474,0.000,-8.232
66,131.533,0.518,0.390,Medium,5,-47.197,0.000,-8.454
67,133.533,-0.222,0.741,Hard,5,-49.924,0.000,-8.663
68,135.533,-0.189,0.033,Easy,5,-51.907,0.000,-8.874
